period,area_name,ndvi_mean,ndvi_mean_ma
2018-03-06,Tembalang,0.4895535766320444,
2018-07-04,Tembalang,0.427160910155798,
2018-12-11,Tembalang,0.0127701377496123,
2018-12-21,Tembalang,0.6857317748701153,
2018-12-31,Tembalang,0.5471672958482758,0.4324767390511692
2019-01-30,Tembalang,0.556360464284608,0.4458381165816819
2019-02-09,Tembalang,0.4934631029448118,0.4590985551394846
2019-02-19,Tembalang,0.5131797356369547,0.5591804747169531
2019-03-01,Tembalang,0.4516220079732533,0.5123585213375808
2019-03-11,Tembalang,0.483045143139782,0.4995340907958819
2019-03-21,Tembalang,0.2563937005916675,0.4395407380572939
2019-03-31,Tembalang,0.5095987822880402,0.4427678739259395
2019-04-10,Tembalang,0.5022561125608296,0.4405831493107145
2019-04-30,Tembalang,0.5104696258940086,0.4523526728948656
2019-05-10,Tembalang,0.486140190574813,0.4529716823818718
2019-05-20,Tembalang,0.4915054379452935,0.499994029852597
2019-05-30,Tembalang,0.4712147926037123,0.4923172319157314
2019-06-09,Tembalang,0.4625924420581599,0.4843844978151974
2019-06-19,Tembalang,0.4261937684613573,0.4675293263286672
2019-06-29,Tembalang,0.4078702670731065,0.4518753416283259
2019-07-09,Tembalang,0.3814177590367912,0.4298578058466254
2019-07-19,Tembalang,0.399157015182058,0.4154462503622945
2019-07-29,Tembalang,0.3350928511109973,0.389946332172862
2019-08-08,Tembalang,0.3263668333577695,0.3699809451521445
2019-08-18,Tembalang,0.3058057369200717,0.3495680391215375
2019-08-28,Tembalang,0.303890648225206,0.3340626169592204
2019-09-07,Tembalang,0.2872868243687602,0.3116885787965609
2019-09-17,Tembalang,0.276545115419767,0.2999790316583149
2019-09-27,Tembalang,0.2695262251090885,0.2886109100085786
2019-10-07,Tembalang,0.274246512974073,0.282299065219379
2019-10-17,Tembalang,0.2700845850380544,0.2755378525819486
2019-10-27,Tembalang,0.2578696374343905,0.2696544151950747
2019-11-06,Tembalang,0.2657011762985684,0.267485627370835
2019-11-16,Tembalang,0.2307105633709183,0.2597224950232009
2019-11-26,Tembalang,0.0267624178421207,0.2102256759968104
2019-12-06,Tembalang,0.359870497964217,0.2281828585820429
2019-12-16,Tembalang,0.4131259455098228,0.2592341201971294
2020-01-15,Tembalang,0.5198990538539215,0.3100736957082001
2020-01-25,Tembalang,0.5095536617586325,0.3658423153857429
2020-02-04,Tembalang,0.3860631432267472,0.4377024604626681
2020-02-14,Tembalang,0.4684923447747354,0.4594268298247719
2020-02-24,Tembalang,0.2261642738224752,0.4220344954873024
2020-03-05,Tembalang,0.5128655661020425,0.4206277979369265
2020-03-15,Tembalang,0.4130381688411405,0.4013246993534281
2020-03-25,Tembalang,0.4836606810941918,0.420844206926917
2020-04-04,Tembalang,0.3793667089150331,0.4030190797549766
2020-04-14,Tembalang,0.4990206210677752,0.4575903492040366
2020-05-04,Tembalang,0.5039184919156137,0.4558009343667509
2020-05-14,Tembalang,0.5348020244031418,0.4801537054791511
2020-06-03,Tembalang,0.4827803851948943,0.4799776462992916
2020-06-13,Tembalang,0.4695714455080107,0.4980185936178872
2020-06-23,Tembalang,0.4582812246978714,0.4898707143439064
2020-07-03,Tembalang,0.4646595786252642,0.4820189316858364
2020-07-13,Tembalang,0.4441791988625927,0.4638943665777267
2020-07-23,Tembalang,0.3931391461551194,0.4459661187697716
2020-08-02,Tembalang,0.3921192217464495,0.4304756740174594
2020-08-12,Tembalang,0.428490261714793,0.4245174814208438
2020-08-22,Tembalang,0.3691152429534565,0.4054086142864822
2020-09-01,Tembalang,0.3573769010914914,0.3880481547322619
2020-09-11,Tembalang,0.3505061342902143,0.3795215523592809
2020-09-21,Tembalang,0.3745913107180815,0.3760159701536073
2020-10-01,Tembalang,0.4070570569071964,0.371729329192088
2020-10-11,Tembalang,0.4434835894020738,0.3866029984818114
2020-10-21,Tembalang,0.3973573104837768,0.3945990803602686
2020-10-31,Tembalang,0.5257266886750069,0.429643191237227
2020-11-10,Tembalang,0.4787729817512855,0.4504795254438679
2020-11-20,Tembalang,0.544548529347561,0.4779778199319408
2020-12-10,Tembalang,0.4988760978978598,0.489056321631098
2020-12-20,Tembalang,0.4966315137271936,0.5089111622797814
2021-01-19,Tembalang,0.2631714070086268,0.4564001059465054
2021-01-29,Tembalang,-0.0315967355090094,0.3543261624944464
2021-02-08,Tembalang,0.1162009698350088,0.2686566505919359
2021-02-18,Tembalang,0.4929561534472722,0.2674726617018184
2021-03-10,Tembalang,0.4909872331550944,0.2663438055873985
2021-03-20,Tembalang,0.4882303035389967,0.3113555848934725
2021-03-30,Tembalang,0.5093521727362291,0.4195453665425203
2021-04-09,Tembalang,0.4632704103335628,0.488959254642231
2021-04-19,Tembalang,0.4874306829388068,0.4878541605405379
2021-04-29,Tembalang,0.4059379402483843,0.470844301959196
2021-05-09,Tembalang,0.4704068971946286,0.4672796206903223
2021-05-19,Tembalang,0.5179211286438824,0.4689934118718529
2021-05-29,Tembalang,0.4864065818156164,0.4736206461682637
2021-06-08,Tembalang,0.4527013067909719,0.4666747709386967
2021-06-18,Tembalang,0.5257324151669073,0.4906336659224014
2021-06-28,Tembalang,0.4764644027935774,0.4918451670421911
2021-07-08,Tembalang,0.4682216590215063,0.4819052731177159
2021-07-18,Tembalang,0.4892570738787005,0.4824753715303327
2021-07-28,Tembalang,0.4584782854843531,0.4836307672690089
2021-08-07,Tembalang,0.4257397551570719,0.4636322352670418
2021-08-17,Tembalang,0.4210928653306848,0.4525579277744633
2021-08-27,Tembalang,0.417081449131421,0.4423298857964463
